english,mandarin,pinyin
The goods are of poor quality.,?????????,zhè xie huò wù zhì liàng bù hao?
He will be promoted step by step.,????????,ta jiàng bèi zhú bù tí sheng?
They surrendered to the enemy.,?????????,ta men xiàng dí rén tóu xiáng le?
You must pay attention to your study.,????????,ni bì xu zhuan xin xué xí?
He lives on the east coast.,?????????.,ta zhù zài dong bù hai àn dì qu.
He is wearing a black suit.,?????????,ta chuan zhuó yi tào hei xi zhuang?
Our plan must remain a secret.,??????????,wo men de jì huà bì xu bao mì?
One of your buttons is undone.,??????????,ni de yi gè kòu zi song kai le?
She is expert at Chinese boxing.,?????????,ta de wu shù liàn dào jia le?
Rain was dripping (down) from the trees.,???????.,yu shui zòng shù shàng di xià.
I still have some cards in hand.,?????????,wo shou li hái you yi xie pái?
The oil will be refined.,?????????,zhè xie shí yóu jiàng bèi jing liàn?
He was too poor to buy a new coat.,?????????,ta qióng de wú fa mai xin yì?
Follow the arrows on the map.,?????????.,gen? dì tú shàng de jiàn tóu zou.
Germs may invade the organism.,?????????,xì jun kuài qin rù you ji ti?
I must admit (that) I have forgot.,?????????,wo de chéng rèn wo yi wàng le?
His conversation is spiced with humor.,????????,ta de tán huà you feng qù?
That woman is a thorough drag.,?????????,nèi gè nu:3 rén tao yàn tòu ding?
We lived in the country then.,?????????,wo men nà shí zhù zài xiang xià?
The firm did badly last year.,?????????,gong si qù nián sheng yi bù hao?
The moon is the Earth's satellite.,????????.,yuè qiú shì dì qiú de wèi xing.
Nobody likes to get into trouble.,?????????,méi you shéi yuàn yì re má fan?
This material is impervious to rainwater.,???????,zhè zhong cái liào fáng yu?
The picture is slanted to the left.,????????.,zhè fú huà wai xiàng zuo bian le.
It's illegal to kill a panda.,?????????,sha hài xióng mao shì fàn fa de?
His grandfather is nearly seventy.,?????????,ta yé ye kuài qi shí suì le?
Please look at this box here.,??????????,qing kàn zhè li de zhè gè hé zi?
The ice is as hard as rock.,?????????,bing xiàng shí tou yí yàng jian yìng?
She is unbred to spinning.,?????????,ta wèi shòu fang zhi zhi xùn liàn?
There is no man but has his faults.,????????,méi you rén méi you que dian?
I don't want your stinking money.,?????????.,wo cái bù yào ni de xiù qián ne.
I bought a large bunch of radishes.,?????????,wo mai le yi dà kun luó bo?
Please pass me a cube of sugar.,?????????,qing dì ji wo yi kuài fang táng?
I've suffered agonies with toothache.,????????,wo zao shòu yá tòng zhi ku?
We are living in the 21st century.,?????21???,wo men sheng huó zàí1 shì jì?
They all maintained a reverent silence.,????????,ta men dou bao chí sù jìng?
His uncle instructed him in French.,?????????,ta de shu shu jiào ta fa yu?
She is an eccentric old lady.,??????????,ta shì gè gu guài de lao tài tai?
My overcoat is wet through.,??????????,wo de dà yi wán quán shi tòu le?
The garden is six meters in width.,?????????,hua yuán de kuan dù wèi liù mi?
A sick person is often feeble.,?????????,bìng rén cháng cháng xu ruò wú lì?
Her heart stood still.,??????????,ta de xin zàng tíng zhi le tiào dòng?
He buckled up his belt tightly.,??????????,ta ba kù dài kòu de jin jin de?
He paid for it out of his own pocket.,?????????,ta shì zì ji tao yao bao de?
We are mechanizing rapidly.,?????????.,wo men zhèng zài xùn sù ji xiè huà.
There is a cat near the sofa.,?????????,sha fa páng bian you yi zhi mao?
Our plans are quite flexible.,?????????.,wo men de jì huà shí fen líng huó.
Ice is water in solid state.,?????????,bing shì shui de gù ti zhuàng tài?
Lambs skipped in the field.,?????????,xiao yáng zài tián ye li tiào yuè?
He pressed the button to call the lift.,????????,ta àn jiàn zhao hu diàn ti?
The garden is six meters in width.,?????????,hua yuán de kuan dù wèi liù mi?
They scuffled with reporters.,??????????,ta men yù jì zhe si da qi lai?
The goods are of poor quality.,?????????,zhè xie huò wù zhì liàng bù hao?
We heard the beat of a drum.,?????????.,wo men ting jiàn qiao gu de sheng yin.
Their courage oozed away.,??????????,ta men de yong qì màn màn xiao shi?
The hind leg of this horse was broken.,?????????,zhè pi ma de hòu tui duàn le?
I've got a terrible head this morning.,????????.,wo jin zao tóu tòng de lì hai.
The bullet was expelled from the gun.,????????,zi dàn zòng qiang zhòng shè chu?
His behaviour seemed queer.,??????????.,ta de ju dòng sì hu you xie gu guài.
The dog is rushing at him.,??????????,nà zhi gou zhèng xiàng ta pu guò qu?
He did not care to be disturbed.,?????????,ta bù yuàn yì shòu dào da rao?
The bullet was expelled from the gun.,????????,zi dàn zòng qiang zhòng shè chu?
He spread butter on his bread.,?????????,ta zài miàn bao shàng tú huáng yóu?
One kilogram equals 1000 grams.,?????????,yi gong jin deng yú yi qian kè?
A red flag is a sign of danger.,?????????,hóng qí shì wei xian de xìn hào?
We are averse to taking action.,?????????,wo men fan duì cai qu xíng dòng?
Just dump everything over there.,?????????,xian ba dong xi dui zài nà bian?
We are averse to taking action.,?????????,wo men fan duì cai qu xíng dòng?
Ring the bell in an emergency.,?????????,qíng kuàng jin jí shí qing àn líng?
I do not altogether agree with you.,?????????,wo bìng bù wán quán tóng yì ni?
The boy buried himself in his books.,?????????,zhè gè nán hái mái tóu dú shu?
There were piles of litter in the streets.,????????,jie dào shàng?? chéng dui?
He knew practically no English.,?????????,ta shí jì shàng bù dong Ying yu?
The picture is slanted to the left.,????????.,zhè fú huà wai xiàng zuo bian le.
I hate his obnoxious behavior.,??????????,wo hèn ta nà tao yàn de pin xíng?
The acid burnt a hole in the carpet.,?????????,suan ba dì tan shao le gè dòng?
"When I woke up, it was already day.",????????.,wo xing lái shí yi shì bái tian.
Guess who I ran into today.,?????????.,ni cai wo jin tian pèng jiàn shéi le.
I awoke late this morning.,??????????,jin tian zao chén wo xing de hen chí?
The procession moved into the church.,????????.,rén men lù xù jìn rù jiào táng.
The beaten army soon surrendered.,?????????,bài jun hen kuài jiù tóu xiáng le?
The ground cools off toward evening.,????????,bàng wan shí dì miàn biàn liáng?
Row me across (the river).,??????????.,huà chuán ba wo sòng dào duì àn qù ba.
The future does not seem very hopeful.,????????.,qián tú sì hu you dian bù miào.
I went to attend the meeting betimes.,?????????,wo jí shí can jia le huì yì?
This soup tastes of chicken.,??????????,zhè tang li you ji ròu de wèi dao?
Destiny drew us together.,??????????.,mìng yùn ba wo men lián zài yi qi le.
The ground cools off toward evening.,????????,bàng wan shí dì miàn biàn liáng?
Literature is a mirror of its time.,?????????,wén xué shì shí dài de jìng zi?
The hoop rolled along the pavement.,????????.,yuán huán yàn rén xìng dào gun dòng.
The earth revolves round the sun.,?????????,dì qiú huán rào tài yáng yùn xíng?
I consider it absolutely necessary.,?????????,wo rèn wéi nà jué duì bì yào?
Her luck seems to have taken an upturn.,?????????,ta sì hu shí lái yùn zhuan le?
He saved many cuttings from newspaper.,?????????,ta bao cún le hen duo jian bào?
Wrap a scarf round your neck.,??????????.,ba wéi jin wéi zài ni de bó zi shàng.
He earned his bread by writing novels.,????????,ta kào xie xiao shuo wéi sheng?
I can't tell you how sorry I am.,?????????,wo zhen shì fei cháng bào qiàn le?
Her kerchief is dirty with oil.,??????????,ta de wéi jin bèi yóu nòng zang le?
Gastric juices help us digest our food.,????????,wèi yè néng bang zhù xiao huà?
The roof leaks whenever it rains.,?????????.,mei féng xià yu wu ding jiù lòu yu.
Promising is a diligent student.,?????????,yòng gong de xué sheng you qián tú?
The vegetables need more salt.,??????????,zhè xie shu cài xu yào jia xie yán?
The fuse-box is in the kitchen.,??????????,bao xian si hé zi zài chú fáng li?
She felt just the same as he did.,?????????,ta huò ta de gan shòu xiang tóng?
Ask him to stop by for a chat.,"?????, ???.","qing ta lái zuò zuò,  liáo liáo tian."
He invited us to the party.,??????????,ta yao qing wo men can jia wan huì?
The ceremony went off without a hitch.,????????.,dian li jìn xíng de hen shùn lì.
The mother had an easy delivery.,?????????,nà wèi mu qin sheng chan shùn lì?
He is a buyer of our products.,??????????,ta shì wo men chan pin de mai zhu?
He kicked the ball to the stand.,??????????,ta ba qiú ti dào kàn tái shàng le?
Pursue lofty political goals.,?????????,zhui qiú chóng gao de zhèng zhì mù biao
Someone has taken my gloves.,??????????.,you rén ba wo de shou tào ná zou le.
Germs are invisible to the naked eye.,?????????,xì jun yòng ròu yan kàn bù jiàn?
His condition has now stabilized.,?????????.,ta de qíng kuàng wen dìng xia lai le.
Sixty minutes is equal to an hour.,?????????,liù shí fèn deng yú yi xiao shí?
The Chinese eat with chopsticks.,?????????,Zhong guó rén yòng kuài zi chi fàn?
I have several engagements for next week.,????????.,wo xià zhou you ji ge yue huì.
His action lacks consistency.,??????????,ta de xíng wéi que fá yi zhì xìng?
Their lives are a poem.,???????????,ta men de sheng huó jiù shì yi shou shi?
It's my treat today. I'll pay.,??????????,jin tian wo qing kè? wo lái fù?
The orchestra tuned their instruments.,?????????,yuè duì zài ji yuè qì tiáo yin?
She pasted posters onto the wall.,?????????.,ta ba hai bào tie zài qiáng shàng le.
We have enough fruit and to spare.,?????????.,wo men de shui guo chong zú you yú.
The cat has torn my scarf to ribbons.,??????????,mao ba wo de wéi jin si làn le?
He is a pompous official.,???????????,ta shì gè zì mìng bù fán de guan yuán?
He writes with penetration.,??????????,ta xie de wén zhang jian ruì shen kè?
The recorder wasn't plugged in.,?????????.,lù yin ji de cha tóu mò cha shàng.
He enfolded her when they met.,???,??????,jiàn miàn shí, ta yong bào le ta?
He shook his head in disapproval.,??????????,ta yáo le yáo tou biao shì fan duì?
They extended the Queen a warm welcome.,????????.,ta men rè liè huan yíng nu:3 wáng.
They strewed seeds over the earth.,??????????,ta men ba zhong zi sa zài de li?
I am awaiting their reply.,???????????,wo zhèng zài deng dài ta men de dá fù?
My remarks were not aimed at you.,??????????,wo de huà bú shì zhen duì ni de?
She loves sausage and mash.,??????????,ta xi huan xiang cháng huò tu dòu nì?
He is still a fine specimen of health.,?????????,ta réng shì jiàn kang de dian fàn?
He saved many cuttings from newspaper.,?????????,ta bao cún le hen duo jian bào?
Therein lies the crux of the matter.,?????????.,wèn tí de guan jiàn jiù zài nà li.
The fuse-box is in the kitchen.,??????????,bao xian si hé zi zài chú fáng li?
I would like to help you pack.,??????????,wo xiang bang máng ni kun zhá dong xi?
I had no time in which to prepare.,?????????.,wo yi lái bù jí zuò zhun bèi le.
There was a descent of temperature after rain.,????????,yu hòu qì wen xià jiàng le?
Down her face ran the tears.,??????????,yan lèi shùn zhuó ta de lian liú xià?
The setting sun gilds the sky.,??????????,luò rì ba tian kong ran chéng jin sè?
He spoke in sepulchral tones.,??????????,ta yòng di chén de yu diào shuo huà?
He is getting better by degrees.,??????????,ta shen ti zài zhú bù hào qi lai?
The troops were embattled last night.,?????????,bù duì zuó wan yán zhèn yi dài?
He was elected chairman of the meeting.,?????????,ta bèi xuan wèi huì yì zhu xí?
These goods are freely available.,?????????,zhè xie shang pin dà liàng gong yìng?
He was let off without punishment.,??????????,ta mò shòu chu fen jiù guò qu le?
He gave up the struggle in despair.,?????????.,ta jué wàng de fàng qì le dòu zheng.
It is important to conserve energy.,????????.,jié sheng néng yuán shí fen zhòng yào.
I wish there were meadows and lambs.,?????????,dàn yuàn you cao dì yù xiao yáng?
The people ask for political asylum.,?????????,rén men qing qiú zhèng zhì bì nàn?
She darted into the doorway to hide.,?????????.,ta chòng dào mén kou duo cáng qi lai.
A balloon floated across the sky.,?????????.,you gè qì qiú zòng kong zhong piao guò.
The clerks are at work attentively.,?????????,zhí yuán men zài zhuan xin gong zuò?
He specializes in oriental history.,?????????,ta zhuan mén yán jiu dong fang shi?
Prices are still spiralling.,??????????,jià gé réng rán zài jí jù shàng zhang?
Prices are still spiralling.,??????????,jià gé réng rán zài jí jù shàng zhang?
Fish cannot breathe out of water.,??????????,yú lí kai shui jiù bù néng hu xi?
Our main export is rice.,???????????.,wo men zhu yào de chu kou huò shì dà mi.
He was a difficult man to deal with.,??????????,ta shì gè hen nàn duì fu de rén?
He set a post in the ground.,???????????.,ta zài dì shang shù qi le yi gen gan zi.
We went for a ramble through the woods.,?????????,wo men sàn bù chuan guò shù lín?
Don't be so ready to find fault.,?????????.,bù yào dòng bù dòng jiù tiao máo bìng.
She gave us a washing-machine.,??????????.,ta sòng ji wo men yi tái xi yì ji.
We spread butter on bread.,???????????,wo men ba nai yóu tú dào miàn bao shàng?
The soap slipped out of my hand.,??????????,féi zào zòng wo shou shàng huá luò le?
The waist is too tight for me.,??????????.,zhè jiàn yi fu wo chuan yao bù tài shòu.
You can't go mountain climbing by yourself.,?????????,ni bù néng zì ji qù deng shan?
Over the river is private land.,???????????,hé de nà bian shì si rén de tu dì?
I am in no mood for chatting with you.,?????????,wo mò xin qíng huò ni liáo tian?
He knotted a towel about his neck.,??????????,ta ba máo jin xì zài bó zi shàng?
Please pass on the news to her.,??????????,qing ba zhè gè xiao xi zhuan gào ta?
My mood gradually lightened.,??????????.,wo de xin qíng màn màn qing song qi lai.
My plan has gradually come to maturity.,?????????,wo de jì huà zhú jiàn chéng shú?
He put some vinegar in the noodles.,??????????,ta zài miàn tiáo li fàng le xie cù?
"First, draw a horizontal line.",??,???????,shou xian, huà yi tiáo shui píng xiàn?
He sees things in their right perspective.,????????.,ta guan chá shì wù hen zhèng què.
He was engaged in medical research.,??????????,ta cóng shì yú yi xué de yán jiu?
We esteem him to be worthy of trust.,??????????,wo men rèn wéi ta zhí de xìn rèn?
Don't be so unkind to your brother.,??????????,biè duì ni xiong dì zhè me ke bó?
Women are often oppressed by men.,?????????.,nu:3 rén jing cháng shòu nán rén ya pò.
I thought it might be true.,???????????,wo zeng rèn wéi zhè ke néng shì zhen de?
The top of the table was formed by a stone slab.,????????,zhuo miàn shì yi kuài shí ban?
He leant on the back of the sofa.,??????????,ta xié kào zài sha fa de bèi shàng?
I hereby declare her elected.,?????,?????,wo tè ci xuan bù, ta dang xuan le?
She is not used to the new environment.,?????????,ta duì xin huán jìng bù xí guàn?
This business is unprofitable.,???????????,zhè bi sheng yi shì wú lì ke tú de?
He was softened into tears.,???????????,ta bèi gan dòng de liú xià le yan lèi?
He opened his eyes wide in surprise.,??????????,ta chi jing de zheng dà le yan jing?
My office is well ventilated.,??????????,wo de bàn gong shì tong feng liáng hao?
She did a twirl in front of the mirror.,?????????.,ta duì? jìng zi zhuàn le yi quan.
This subject is very close to my heart.,?????????.,zhè tí mù shi wo hen gan xìng qu.
Attend to your work and stop talking.,"????, ????.","zhuan xin gong zuò,  bù yào shuo huà."
She is strict with her children.,???????????,ta duì ta de hái zi men hen yán gé?
Food is tinned to preserve it.,??????????,ba shí pin zhuang guàn jia yi bao cún?
It's no use trying to make her hurry.,?????????.,xiang cui ta kuài dian shì méi yòng de.
The communist is atheist.,??????????,gòng chan dang yuán shì wú shén lùn zhe?
He bore his tribulations bravely.,??????????,ta yong gan de ren shòu zhuó kùn ku?
Conditions are changing all the time.,?????????,qíng kuàng shi zhong dou zài biàn huà?
Your contract has been terminated.,??????????,ni de hé tong yi jing bèi zhong zhi?
We pondered whether to tell her.,???????????,wo men kao lu:4 shì fou yào gào su ta?
A long pull across the mountains.,??????????,wèi fan yuè shan mài de bù duàn nu lì
Houses and churches are buildings.,??????????,fáng zi huò jiào táng shì jiàn zhù wù?
He thrust his hands into his pockets.,??????????,ta ba liang shou cha rù yì dài li?
This is just an approximate figure.,??????????,zhè jin jin shì gè dà gài shù zì?
The wind is in the northwestern direction.,?????????,zhè zhèn feng lái zì xi bei fang?
I'd like something plain and quiet.,??????????,wo xiang yào pu sù ér wén jìng de?
The police asked me if I possessed a gun.,?????????,jing chá wèn wo shì fou you qiang?
He replaced the book in the shelf.,??????????,ta ba shu fàng huí dào shu jià shàng?
This glass plate is very fragile.,???????????,zhè gè bo li pán zi hen róng yì suì?
His answer is unsatisfactory.,???????????,ta de dá àn bù néng lìng rén man yì?
He fell into a snare laid by his enemy.,??????????,ta luò rù dí rén shè de juan tào?
It's better for the doer to undo what he has done.,????????,xiè líng huán xu xì líng rén?
Bananas are usually sold by weight.,????????.,xiang jiao tong cháng àn zhòng liàng mài.
The missiles were moved under convoy.,?????????.,dao dàn zài hù wèi zhi xià zhuan yí.
I shall give the matter my personal attention.,????????.,wo jiàng qin zì guò wèn ci shì.
The firm have provided me with a car.,?????????.,gong si gong gei wo yi liàng qì che.
He has established his own firm.,???????????,ta yi jiàn lì qi zì ji de gong si?
The power of the press is very great.,??????????,xin wén jiè de lì liang fei cháng dà?
State your name and address.,???????????,qing shuo chu ni de xìng míng huò dì zhi?
Water is spouting out of the pipe.,??????????,shui zhèng zòng guan zi li pèn chu lái?
Our position is capable of improvement.,??????????,wo men de dì wèi ke yi gai shàn?
He is a proper object of charity.,??????????,ta shì shi shè de shì dàng duì xiàng?
That's beyond the reach of my imagination.,?????????,nà shì wo xiang xiàng bù dào de?
I followed the instructions religiously.,?????????.,wo rèn zhen de àn zhi shì bàn shì.
They discharged their arrows at the enemy.,?????????,ta men ba jiàn shè xiàng dí rén?
Her handwriting slants from left to right.,?????????.,ta xie de zì zòng zuo wàng yòu xié.
The sound of the cheering faded away.,?????????,huan hu sheng zài zhú jiàn xiao shi?
The excitement quickened my pulse.,??????????,ji dòng shi wo de xin tiào jia kuài?
His explanation is full of contradictions.,?????????,ta de jie shì chong man máo dùn?
We grind up the wheat to make flour.,??????????,wo men ba xiao mài mò chéng miàn fen?
Water is spouting out of the pipe.,??????????,shui zhèng zòng guan zi li pèn chu lái?
The drainage system has been aged.,??????????,pái shui xì tong yi jing lao huà le?
The apples are full of worms.,??????????.,zhè xie píng guo sheng le hen duo chóng zi.
He worked in internal trade.,???????????,ta de gong zuò shì zuò guó nèi mào yì?
Please pass me a piece of paper handkerchief.,?????????,qing dì ji wo yi zhang zhi jin?
The truth verified the allegations.,??????????,shì shí zhèng míng le zhè xie shuo fa?
She's an excellent administrator.,??????????.,ta shì gè you xiù de guan li rén yuán.
His Chinese kung fu is peerless.,???????????,ta de Zhong guó gong fu shì wú dí de?
There is an imperceptible change in temperature.,?????????,wen dù you xì wei de biàn huà?
Just take care of yourself and don't worry.,???,?????,biè zháo jí, an xin yang bìng?
I really hate being kept waiting.,??????????,wo shí zài tao yàn ràng wo deng zhuó?
The soil is too dry for planting.,????,??????,tu tài gàn le, bù néng zhòng dong xi?
His ideas do not conform to mine.,???????????,ta de xiang fa huò wo de bù yi zhì?
The play was very well reviewed.,???????????,zhè chu xì dé dào hen hao de píng jià?
He took the watch apart to repair it.,??????????,ta ba shou biao chai kai lái xiu li?
He works in a private enterprise.,???????????,ta zài yi jia si rén qi yè gong zuò?
She is weak from lack of sustenance.,??????????,ta yin que fá yíng yang ér xu ruò?
They have to skimp on fuel in winter.,?????????.,dong tian ta men de jié sheng rán liào.
He is honest only on the surface.,??????????,ta zhi shì biao miàn chéng shí ér yi?
His honesty is beyond dispute.,???????????,ta de chéng shí shì wú ke zheng yì de?
Their merchandise is of high quality.,??????????,ta men de huò wù zhì liàng hen hao?
His successes were largely due to luck.,??????????,ta de chéng gong zhu yào kào yùn qi?
They exchanged hostages with each other.,?????????.,ta men xiang hù jiao huàn le rén zhì.
We hope to be back by nightfall.,??????????.,wo men xi wàng bàng wan shí néng huí lai.
He stabbed the meat with his fork/stabbed his fork into the meat.,??????.,ta yòng cha zi cha ròu.
France is one of the develop countries.,??????????,fa guó shì fa dá guó jia zhi yi?
The boy has quite recovered.,???????????,zhè nán hái yi chè di hui fù jiàn kang?
Do not fear; I will support you.,???,???????,biè dan xin, wo kuài zhi chí ni de?
He scooped the coins up in his hands.,??????????.,ta yòng shou ba yìng bì peng le qi lai.
Do not fear; I will support you.,???,???????,biè dan xin, wo kuài zhi chí ni de?
I don't know which advise to follow.,??????????,bù xiao de gai tìng shéi de quàn gào?
These facts are relevant to the case.,??????????,zhè xie shì shí huò ci àn you guan?
This magazine has a large circulation.,??????????,zhè ben zá zhì fa xíng liàng hen dà?
I hereby declare her elected.,???????????,wo tè ci xuan bù ta yi jing dang xuan?
Her words mitigated my suffering.,???????????,ta de huà jian qing le wo de tòng ku?
This glass plate is very fragile.,???????????,zhè gè bo li pán zi hen róng yì suì?
They exchanged hostages with each other.,?????????.,ta men xiang hù jiao huàn le rén zhì.
He was the world tennis champion.,??????????,ta zeng shì shì jiè wang qiú guàn jun?
The doctor cured him of his stomach trouble.,??????????,dài fu zhì hào le ta de wèi bìng?
Many problems occupied his mind.,???????????,ta nao zi li zhuang? xu duo wèn tí?
Magnetism is a natural phenomenon.,??????????,cí lì shì yi zhòng zì rán xiàn xiàng?
He put his bag on the luggage rack.,??????????,ta ba bao fàng zài xíng li jià shàng?
She lifted the lid of the pot to add some salt.,?????????,ta xian qi guo ge jia dian yán?
The people want him as their leader.,?????????.,dà jia dou xiang ràng ta dàng ling xiù.
I could not stand parting from her.,??????????,wo bù néng chéng shòu huò ta fen bié?
I can not help think the same.,???????????,wo bù jin ye you tóng yàng de xiang fa?
He spread the map flat out on the floor.,??????????,ta ba dì tú píng pù zài dì shang?
"He is the strong, silent type.",???????????,ta shì gè jian qiáng ér chén mò de rén?
I really feel bad about that.,???????????,wo wèi ci shí zài gan dào hen bào qiàn?
We grind up the wheat to make flour.,??????????,wo men ba xiao mài mò chéng miàn fen?
I may vote for her at the next election.,??????????,xià jiè xuan ju wo ke néng xuan ta?
She was sitting immediately to my left.,??????????.,ta ái? wo zuò zài wo de zuo bian.
I'm never one to pick and choose.,???????????,wo cóng lái bù shì ài tiao jian de rén?
Just for once he arrived on time.,???????????,zhi you zhè cì ta shì àn shí dào le?
I'll stand by you whatever happens.,????,??????,wú lùn rú hé, wo dou zhi chí ni?
He threw a stone into the lake.,???????????,ta xiàng hú li reng le yi kuài shí tou?
The price of oil has gone up.,???????????,shí yóu de jià gé yi jing shàng zhang le?
He always speaks well of his daughter.,??????????,ta zong shì cheng zàn ta de nu:3 ér?
I feel it is absolutely necessary.,???????????,wo jué de zhè shì jué duì bì yào de?
Please back the check.,???????????,qing zài zhè zhang zhi piào bèi hòu qian míng?
Her secret remains untold by now.,???????????,ta de mì mì zhì jin réng wèi tòu lù?
He gave me a reasonable explanation.,???????????,ta duì wo zuò le hé li de jie shì?
I can certify to her honesty.,???????????,wo ke yi zhèng míng ta shì chéng shí de?
It is a pleasure to converse with her.,??????????,huò ta tán huà shì yi zhòng lè qù?
The troops took up offensive positions.,??????????,bù duì yi zhun bèi fa qi gong ji?
We hope to make great profit in the long term.,?????????,wo men xi wàng cháng qi huò lì?
We enjoyed the quietness of the country.,??????????,wo men xi huan xiang cun de píng jìng?
Fresh air is beneficial to our health.,??????????,xin xian kong qì you yì yú jiàn kang?
He sets aside part of his salary.,????????????,ta ba gong zi de yi bù fen cún qi lai?
He works in a private enterprise.,???????????,ta zài yi jia si rén qi yè gong zuò?
These facts negate your theory.,???????????.,zhè xie shì shí fou dìng le ni de li lùn.
The bank is opposite the supermarket.,?????????.,yín háng zài chao jí shì chang duì miàn.
It's a dark and moonless night.,????????????,zhè shì yi gè hei àn wú yuè de yè wan?
Please throw me that towel.,???????????.,qing ba nà tiáo máo jin ji wo reng guò lai.
It's cold I need another blanket.,???--???????.,tài leng le-- wo zài yào yi tiáo tan zi.
There is an imperceptible change in temperature.,?????????,wen dù you xì wei de biàn huà?
She gave the boys a dollar apiece.,???????????,ta ji hái zi men mei rén yi mei yuán?
Her secret remains untold to this day.,??????????.,ta de mì mì zhì jin réng wèi tòu lù.
Mother pieced a quilt yesterday.,???????????,mu qin zuó tian bu le yi chuáng bèi zi?
She is a sultry western beauty.,???????????,ta shì wèi xìng gan de xi fang mei rén?
They finished the preparatory training.,??????????,ta men wán chéng le yù bèi xùn liàn?
Her services to the state have been immense.,?????????.,ta duì guó jia de gòng xiàn jí dà.
Don't forget to bring your fishing tackle.,??????????,biè wàng le dài shàng ni de diào jù?
The ship was attacked by torpedo.,???????????,nà tiáo chuán zao dào yú léi de gong ji?
Nothing worth doing is easy.,????????????,zhí de zuò de shì méi you róng yì zuò de?
Her motherland is in the tropical region.,???????????,ta de zu guó wèi yú rè dài dì qu?
The missile is delivered from underground.,?????????.,zhè zhong dao dàn yóu dì xià fa shè.
These conditions no longer obtain.,???????????,zhè xie tiáo jiàn yi bù fù cún zài le?
He spent his declining years in the country.,?????????,ta zài xiang jiàn dù guò wan nián?
The chair casts a shadow on the wall.,??????????.,yi zi de ying zi yìng dào qiáng shàng le.
Accidents often arise from carelessness.,??????????,shì gù wang wang qi yin yú cu xin?
The heart pumps blood into the veins.,??????????,xin zàng ba xuè yè sòng zhì xuè guan?
I don't plan to take the job.,???????????,wo bù da suàn dan rèn zhè xiàng gong zuò?
I advocate a policy of gradual reform.,??????????.,wo yong hù zhú bù gai gé de zhèng cè.
He drew an oblique line on paper.,???????????,ta zài zhi shàng huà le yi tiáo xié xiàn?
Billows of flame swept through the forest.,?????????,xióng xióng liè huo xí juan sen lín?
"Not at the moment, thank you.",??????,????,zàn shí huán yòng bù zhuó, xiè xie ni?
This is an area rich in ore.,????????????,zhè li shì gè kuàng chan feng fù de dì qu?
Everyone must abide by the law.,???????????,suo you de rén dou yìng zun shou fa lu:4?
He still worked at his biology.,???????????,ta réng rán zuan yán ta de sheng wù xué?
There was a steady increase in population.,?????????,rén kou zài bù duàn zeng zhang zhòng?
The brain needs a continuous supply of blood.,??????????,dà nao xu yào bù duàn de gòng xuè?
Some advertisements have no pull at all.,??????????,you xie guang gào háo wú xi yin lì?
The information ought to be made more accessible.,?????????,zi liào ying gai míng bai yì dong?
She felt a pricking on her scalp.,???????????.,ta gan dào tóu pí shàng bèi zhá le yi xià.
The nurse executed the doctor's orders.,??????????,hù shi zhí xíng yi sheng de mìng lìng?
There is not a vestige of truth in the report.,?????????,gai bào gào háo wú zhen shí xìng?
We barely had time to catch the train.,??????????.,wo men ji hu lái bù jí gan huo che.
The climate on grassland is capricious.,??????????,cao yuán de qì hòu biàn huà wú cháng?
There is not a vestige of truth in the report.,?????????,gai bào gào háo wú zhen shí xìng?
It is an experience of humiliation.,???????????,nà shì yi cì bù guang cai de jing lì?
We were rationed to two eggs a week.,???????????,mei zhou pèi ji wo men liang gè ji dàn?
Please add more spices to the cake.,??????????,qing ji dàn gao duo jia dian xiang liào?
Winds are mainly light and variable.,????,?????,feng lì jiào ruò, feng xiàng duo biàn?
They gave the chairman a tumultuous welcome.,??????????,ta men rè liè de huan yíng zhu xí?
Don't read in poor light.,????????????,biè zài guang xiàn bù hao de dì fang kàn shu?
He suffered a few cuts and scrapes.,????????????,ta ge pò huò ca shang le ji ge dì fang?
Her grief is a heavy load to bear.,???????????,ta xin qíng chén zhòng de nán yi ren shòu?
I didn't like it because it was noisy.,???????????,wo bù xi huan ta yin wèi hen chao nào?
I'm much obliged to you for helping us.,??????????.,fei cháng gan ji ni bang zhù le wo men.
She pricked her finger on/with a needle.,??????????.,ta de shou zhi jiào zhen ji zhá shang le.
A critical comment or judgment.,???????????,pi pàn pi pàn xìng de píng lùn huò pàn duàn
There are numberless stars in the sky.,??????????,tian kong zhòng you wú shù de xing xing?
Go and fill this bucket with water for me.,??????????,qù tì wo zhuang man yi tong shui lái?
The army is an extremely complex organism.,???????????,jun duì shì jí qí fù zá de zu zhi?
The aircraft was flying above thick fog.,??????????,fei ji zài nóng wù shàng kong fei xíng?
That party is only too exciting.,???????????,nèi gè wan huì zhen shì ji dòng rén xin?
He talked about it in a similar way.,???????????,ta duì ci shì you xiang sì de shuo fa?
He was hewing away at the trunk of the tree.,??????????.,ta bù tíng de zhào? shù gàn kan qù.
A plane is gone to order from France.,???????????,zòng fa guó qù dìng gòu yi jià fei ji?
She sent him off in high spirits.,???????????,ta xìng gao cài liè de wèi ta sòng xíng?
There's a tear in the arm of my jacket.,??????????.,wo shàng yi xiù zi shàng you gè pò kou.
She looked very embarrassed.,????????????,ta xian de hen bù hào yì si de yàng zi?
He looked at her with a solemn expression.,??????????,ta biao qíng yán sù de wàng zhuó ta?
